19901107,-1.51,1.04,0.64,-0.29,0.29,0.03
19901108,0.36,-0.75,0.04,0.07,-0.1,0.03
19901109,1.7,-1.07,-0.2,-0.06,-0.44,0.03
19901112,1.82,-0.52,-0.42,0.26,-1.32,0.03
19901113,-0.3,0.7,-0.18,-0.24,-0.54,0.03
19901114,0.76,0.06,-0.03,0.16,-0.44,0.03
19901115,-0.85,0.69,0,0.31,0.14,0.03
19901116,-0.04,0.01,0.53,-0.03,0.14,0.03
19901119,0.53,-0.25,-0.38,0.27,-0.39,0.03
19901120,-1.03,0.79,0.05,0.42,0.17,0.03
19901121,0.08,-0.12,-0.14,0.19,0.17,0.03
19901122,-0.03,-0.01,-0.02,0.02,0.01,0.03
19901123,-0.19,0.32,-0.09,0.07,-0.01,0.03
19901126,0.3,-0.33,0.12,-0.26,0.36,0.03
19901127,0.65,0.26,-0.74,-0.17,-0.5,0.03
19901128,0.02,0.4,-0.01,-0.33,-0.04,0.03
19901129,-0.37,0.42,-0.32,0.06,-0.34,0.03
19901130,1.49,-0.73,-0.35,0.28,-0.14,0.03
19901203,0.64,-0.18,-0.08,0.25,-0.78,0.03
19901204,0.72,-0.35,0.16,-0.35,-0.29,0.03
19901205,1.13,0.31,0.3,-0.31,-0.74,0.03
19901206,-0.17,0.54,0.17,0.23,-0.36,0.03
19901207,-0.33,0.4,0.07,0.08,0.37,0.03
19901210,0.23,-0.29,0.08,0.19,-0.07,0.03
19901211,-0.58,0.09,-0.03,0.04,0.27,0.03
19901212,0.88,-0.5,-0.35,0.16,-0.24,0.03
19901213,-0.08,0.51,-0.46,0.39,-0.04,0.03
19901214,-0.73,0.29,-0.01,0.02,0,0.03
19901217,-0.36,-0.31,-0.06,0.32,0.34,0.03
19901218,1.1,-0.69,0.25,0.05,-0.6,0.03
19901219,0.06,0.32,-0.04,-0.07,-0.41,0.03
19901220,0.06,0.11,-0.12,-0.21,-0.03,0.03
19901221,0.28,-0.22,-0.11,0,-0.18,0.03
19901224,-0.39,0.18,0.03,0.15,0.08,0.03
19901225,-0.03,0,0,0,0,0.03
19901226,0.23,-0.01,-0.2,-0.04,0.32,0.03
19901227,-0.61,0.61,-0.12,0.21,-0.05,0.03
19901228,-0.01,-0.08,-0.08,0.04,0,0.03
19901231,0.46,0.68,-0.43,-0.01,-0.15,0.03
19910101,-0.02,0,0,0,0,0.02
19910102,-0.88,0.51,0.97,-0.52,0.2,0.02
19910103,-1.18,0.38,1.2,-0.43,0.26,0.02
19910104,-0.25,0.16,0.33,-0.37,0.03,0.02
19910107,-1.61,0.28,0.24,-0.2,0.41,0.02
19910108,-0.29,-0.2,-0.13,0.15,0.21,0.02
19910109,-0.92,0.41,-0.01,-0.14,-0.26,0.02
19910110,0.91,-0.46,-0.32,0.51,-0.31,0.02
19910111,0.07,-0.13,-0.29,0.32,-0.19,0.02
19910114,-0.92,-0.77,0.31,-0.2,0.24,0.02
19910115,0.28,-0.32,-0.25,0.11,-0.32,0.02
19910116,0.91,-0.01,-0.9,0.46,-0.98,0.02
19910117,3.14,-1.02,-0.68,1.48,-1.12,0.02
19910118,0.87,-1.12,0.11,0.24,-0.15,0.02
19910121,-0.07,0.42,0.34,-0.01,-0.22,0.02
19910122,-0.61,1.06,-0.11,-0.38,0.14,0.02
19910123,0.56,0.39,0.01,-0.42,-0.01,0.02
19910124,1.36,0.25,-0.46,-0.05,-0.78,0.02
19910125,0.37,0.6,-0.17,0.09,-0.14,0.02
19910128,0.14,0.62,0.04,0.13,-0.07,0.02
19910129,0.09,0.78,0.22,-0.06,-0.47,0.02
19910130,1.44,0.21,-0.38,0.49,-0.82,0.02
19910131,0.89,0.49,-0.2,-0.03,-0.06,0.02
19910201,0.04,1.04,0.53,-0.6,-0.04,0.02
19910204,1.55,0.31,0.37,-0.51,-0.06,0.02
19910205,0.99,0.38,-0.35,0.36,-0.24,0.02
19910206,1.76,-0.46,-0.64,-0.08,-0.16,0.02
19910207,-0.35,-0.09,0.46,-0.04,0.44,0.02
19910208,0.64,-0.44,-0.07,-0.09,0.17,0.02
19910211,2.32,-0.74,-0.17,0.34,-0.25,0.02
19910212,-0.54,0.79,0.29,-0.05,-0.01,0.02
19910213,0.85,0.21,-0.34,0.34,0.11,0.02
19910214,-1.15,1,0.16,-0.13,-0.13,0.02
19910215,1.12,-0.28,-0.11,0.3,-0.39,0.02
19910218,0.02,-0.02,0.06,-0.06,-0.03,0.02
19910219,0.13,-0.04,-0.25,0.18,-0.4,0.02
19910220,-1.02,0.46,0.15,-0.08,0.48,0.02
19910221,-0.05,0.55,-0.38,0.19,0.06,0.02
19910222,0.2,0.29,-0.66,-0.23,-0.23,0.02
19910225,0.39,0.08,-0.56,0.07,-0.1,0.02
19910226,-1.05,0.33,0.27,-0.29,0.25,0.02
19910227,1.13,-0.59,-0.26,-0.46,0.23,0.02
19910228,0.04,0.93,0.72,-0.7,0.17,0.02
19910301,0.81,-0.31,0.07,-0.25,-0.16,0.02
19910304,0.08,1.26,0.11,-0.49,-0.34,0.02
19910305,1.84,-0.06,-0.71,0.39,-0.8,0.02
19910306,-0.11,0.38,0.22,0.02,0.13,0.02
19910307,0.02,0.27,-0.34,-0.05,-0.12,0.02
19910308,-0.21,0.53,-0.3,0.02,0.35,0.02
19910311,-0.54,-0.14,0.32,0.11,0.26,0.02
19910312,-0.83,-0.11,0.77,-0.01,0.43,0.02
19910313,1.04,-0.6,-0.51,0.2,-0.4,0.02
